feature,mean_abs_shap
IsHTTPS,3.089107
NoOfOtherSpecialCharsInURL,2.4159355
LetterRatioInURL,1.6257958
DomainLength,1.2052597
NoOfDegitsInURL,0.64918804
CharContinuationRate,0.44926158
URLLength,0.4089229
URLCharProb,0.40177143
SpacialCharRatioInURL,0.37234795
TLDLegitimateProb,0.33795223
NoOfSubDomain,0.28520206
TLDLength,0.27301955
DegitRatioInURL,0.21249175
NoOfLettersInURL,0.108413555
IsDomainIP,0.0
HasObfuscation,0.0
ObfuscationRatio,0.0
NoOfObfuscatedChar,0.0
NoOfEqualsInURL,0.0
NoOfQMarkInURL,0.0
NoOfAmpersandInURL,0.0
